SRR13698382	A11_E08
SRR13698383	A11_E09
SRR13698384	A12_E08
SRR13698385	A12_E09
SRR13698386	B01_E08
SRR13698387	B01_E09
SRR13698388	B02_E08
SRR13698389	B02_E09
SRR13698390	B03_E08
SRR13698391	B03_E09
SRR13698392	B04_E08
SRR13698393	B04_E09
SRR13698394	B05_E08
SRR13698395	B05_E09
SRR13698396	B06_E08
SRR13698397	B06_E09
SRR13698398	B07_E08
SRR13698399	B07_E09
SRR13698400	B08_E08
SRR13698401	B08_E09
SRR13698402	B09_E08
SRR13698403	B09_E09
SRR13698404	B10_E08
SRR13698405	B10_E09
SRR13698406	B11_E08
SRR13698407	B11_E09
SRR13698408	B12_E08
SRR13698409	B12_E09
SRR13698410	C01_E08
SRR13698411	C01_E09
SRR13698412	C02_E08
SRR13698413	C02_E09
SRR13698414	C03_E08
SRR13698415	C03_E09
SRR13698416	C04_E08
SRR13698417	C04_E09
SRR13698418	C05_E08
SRR13698419	C05_E09
SRR13698420	C06_E08
SRR13698421	C06_E09
SRR13698422	C07_E08
SRR13698423	C07_E09
SRR13698424	C08_E08
SRR13698425	C08_E09
SRR13698426	C09_E08
SRR13698427	C09_E09
SRR13698428	C10_E08
SRR13698429	C10_E09
SRR13698430	C11_E08
SRR13698431	C11_E09
SRR13698432	C12_E08
SRR13698433	C12_E09
SRR13698434	D01_E08
SRR13698435	D01_E09
SRR13698436	D02_E08
SRR13698437	D02_E09
SRR13698438	D03_E08
SRR13698439	D03_E09
SRR13698440	D04_E08
SRR13698441	D04_E09
SRR13698442	D05_E08
SRR13698443	D05_E09
SRR13698444	D06_E08
SRR13698445	D06_E09
SRR13698446	D07_E08
SRR13698447	D07_E09
SRR13698448	D08_E08
SRR13698449	D08_E09
SRR13698450	D09_E08
SRR13698451	D09_E09
SRR13698452	D10_E08
SRR13698453	D10_E09
SRR13698454	D11_E08
SRR13698455	D11_E09
SRR13698456	D12_E08
SRR13698457	D12_E09
SRR13698458	E01_E08
SRR13698459	E01_E09
SRR13698460	E02_E08
SRR13698461	E02_E09
SRR13698462	E03_E08
SRR13698463	E03_E09
SRR13698464	E04_E08
SRR13698465	E04_E09
SRR13698466	E05_E08
SRR13698467	E05_E09
SRR13698468	E06_E08
SRR13698469	E06_E09
SRR13698470	E07_E08
SRR13698471	E07_E09
SRR13698472	E08_E08
SRR13698473	E08_E09
SRR13698474	E09_E08
SRR13698475	E09_E09
SRR13698476	E10_E08
SRR13698477	E10_E09
SRR13698478	E11_E08
SRR13698479	E11_E09
SRR13698480	E12_E08
SRR13698481	E12_E09
SRR13698482	F01_E08
SRR13698483	F01_E09
SRR13698484	F02_E08
SRR13698485	F02_E09
SRR13698486	F03_E08
SRR13698487	F03_E09
SRR13698488	F04_E08
SRR13698489	F04_E09
SRR13698490	F05_E08
SRR13698491	F05_E09
SRR13698492	F06_E08
SRR13698493	F06_E09
SRR13698494	F07_E08
SRR13698495	F07_E09
SRR13698496	F08_E08
SRR13698497	F08_E09
SRR13698498	F09_E08
SRR13698499	F09_E09
SRR13698500	F10_E08
SRR13698501	F10_E09
SRR13698502	F11_E08
SRR13698503	F11_E09
SRR13698504	F12_E08
SRR13698505	F12_E09
SRR13698506	G01_E08
SRR13698507	G01_E09
SRR13698509	G02_E09
SRR13698510	G03_E08
SRR13698511	G03_E09
SRR13698512	G04_E08
SRR13698513	G04_E09
SRR13698514	G05_E08
SRR13698515	G05_E09
SRR13698516	G06_E08
SRR13698517	G06_E09
SRR13698518	G07_E08
SRR13698519	G07_E09
SRR13698520	G08_E08
SRR13698521	G08_E09
SRR13698522	G09_E08
SRR13698523	G09_E09
SRR13698524	G10_E08
SRR13698525	G10_E09
SRR13698526	G11_E08
SRR13698527	G11_E09
SRR13698528	G12_E08
SRR13698529	G12_E09
SRR13698530	H01_E08
SRR13698531	H01_E09
SRR13698532	H02_E08
SRR13698533	H02_E09
SRR13698534	H03_E08
SRR13698535	H03_E09
SRR13698536	H04_E08
SRR13698537	H04_E09
SRR13698538	H05_E08
SRR13697978	A01_A04
SRR13697979	A01_H06
SRR13697980	A02_A04
SRR13697981	A02_H06
SRR13697982	A03_A04
SRR13697983	A03_H06
SRR13697984	A04_A04
SRR13697985	A04_H06
SRR13697986	A05_A04
SRR13697987	A05_H06
SRR13697988	A06_A04
SRR13697989	A06_H06
SRR13697990	A07_A04
SRR13697991	A07_H06
SRR13697992	A08_A04
SRR13697993	A08_H06
SRR13697994	A09_A04
SRR13698539	H05_E09
SRR13698540	H06_E08
SRR13698541	H06_E09
SRR13698542	H07_E08
SRR13698543	H07_E09
SRR13698544	H08_E08
SRR13698545	H08_E09
SRR13698546	H09_E08
SRR13698547	H09_E09
SRR13698548	H10_E08
SRR13698549	H10_E09
SRR13698550	H11_E08
SRR13698551	H11_E09
SRR13698552	H12_E08
SRR13698553	H12_E09
SRR13697995	A09_H06
SRR13697996	A10_A04
SRR13697997	A10_H06
SRR13697998	A11_A04
SRR13697999	A11_H06
SRR13698000	A12_A04
SRR13698001	A12_H06
SRR13698002	B01_A04
SRR13698003	B01_H06
SRR13698004	B02_A04
SRR13698005	B02_H06
SRR13698006	B03_A04
SRR13698007	B03_H06
SRR13698008	B04_A04
SRR13698009	B04_H06
SRR13698010	B05_A04
SRR13698011	B05_H06
SRR13698012	B06_A04
SRR13698013	B06_H06
SRR13698014	B07_A04
SRR13698015	B07_H06
SRR13698016	B08_A04
SRR13698017	B08_H06
SRR13698018	B09_A04
SRR13698019	B09_H06
SRR13698021	B10_H06
SRR13698023	B11_H06
SRR13698025	B12_H06
SRR13698026	C01_A04
SRR13698027	C01_H06
SRR13698028	C02_A04
SRR13698029	C02_H06
SRR13698030	C03_A04
SRR13698031	C03_H06
SRR13698032	C04_A04
SRR13698033	C04_H06
SRR13698034	C05_A04
SRR13698035	C05_H06
SRR13698036	C06_A04
SRR13698037	C06_H06
SRR13698038	C07_A04
SRR13698039	C07_H06
SRR13698040	C08_A04
SRR13698041	C08_H06
SRR13698042	C09_A04
SRR13698043	C09_H06
SRR13698044	C10_A04
SRR13698045	C10_H06
SRR13698046	C11_A04
SRR13698047	C11_H06
SRR13698048	C12_A04
SRR13698049	C12_H06
SRR13698050	D01_A04
SRR13698051	D01_H06
SRR13698052	D02_A04
SRR13698053	D02_H06
SRR13698054	D03_A04
SRR13698055	D03_H06
SRR13698056	D04_A04
SRR13698057	D04_H06
SRR13698058	D05_A04
SRR13698059	D05_H06
SRR13698060	D06_A04
SRR13698061	D06_H06
SRR13698062	D07_A04
SRR13698063	D07_H06
SRR13698064	D08_A04
SRR13698065	D08_H06
SRR13698066	D09_A04
SRR13698067	D09_H06
SRR13698068	D10_A04
SRR13698069	D10_H06
SRR13698070	D11_A04
SRR13698071	D11_H06
SRR13698072	D12_A04
SRR13698073	D12_H06
SRR13698074	E01_A04
SRR13698075	E01_H06
SRR13698076	E02_A04
SRR13698077	E02_H06
SRR13698078	E03_A04
SRR13698079	E03_H06
SRR13698080	E04_A04
SRR13698081	E04_H06
SRR13698082	E05_A04
SRR13698083	E05_H06
SRR13698084	E06_A04
SRR13698085	E06_H06
SRR13698086	E07_A04
SRR13698087	E07_H06
SRR13698088	E08_A04
SRR13698089	E08_H06
SRR13698090	E09_A04
SRR13698091	E09_H06
SRR13698092	E10_A04
SRR13698093	E10_H06
SRR13698094	E11_A04
SRR13698095	E11_H06
SRR13698096	E12_A04
SRR13698097	E12_H06
SRR13698098	F01_A04
SRR13698099	F01_H06
SRR13698100	F02_A04
SRR13698101	F02_H06
SRR13698102	F03_A04
SRR13698103	F03_H06
SRR13698104	F04_A04
SRR13698105	F04_H06
SRR13698106	F05_A04
